,,,,,,,,,,,,,,Realizado
Explotación,Provincia,Sección,Actuario,Tipo revisión,Fecha visita,Latitud,Longitud,Revisado,Fecha informe,Firmado,ISA,Anotaciones,,"75,00 %"
San Juan,Ourense,C,Alfonso,Visita,15/02/24,42.001953,-7.173331  ,SI,20/02/24,SI,SI,,,
Castroverde,Ourense,C,Lucas,Visita,16/02/24,42.278924 ,-7.826714 ,SI,22/02/24,SI,SI,,,
Faro I,Ourense,C,Emilio,Visita,27/02/24,42.269749 ,-8.247693,SI,01/03/24,SI,SI,,,
Faro II,Ourense,C,Emilio,Visita,27/02/24,42.271847 ,-8.243970,SI,01/03/24,SI,SI,,,
Acibeiro,Ourense,A,Monse,Visita,29/02/24,42.075843 ,-7.773873,SI,04/03/24,SI,NO,,,
Penido,Ourense,A,Emilio,Visita,12/03/24,42.321364 ,-8.191300,SI,,SI,SI,"Espera de requermiento, analisis y actualizacion de información",,
Faro ,Pontevedra,C,Patricia,Documental,20/03/24,,,SI,19/03/24,SI,SI,,,
Dapoza,Ourense,A,Monse,Visita,26/03/24,42.072350 ,-7.474380,SI,,SI,,No cubre IN329A,,
Rial II,Ourense,C,Lucas,Documental,02/04/24,,,SI,,SI,,"No cubre IN329A, no presenta informe ruido y polvo, si agua, alguna mejora desde el año pasado",,
Rial IV,Ourense,C,Lucas,Documental,02/04/24,,,SI,,SI,,"No cubre IN329A, no presenta informe ruido y polvo, si agua, alguna mejora desde el año pasado",,
Castañeiro,Ourense,C,Diego,Visita,04/04/24,42.368108 ,-6.830818 ,SI,,SI,,,,
Palomo,Lugo,A,Alfonso,Visita,11/04/24,43.240539 ,-7.664894,SI,,SI,,,,
A Campa,Lugo,C,Pablo,Visita,12/04/24,42.577514 ,-7.204533 ,SI,,SI,,,,
Blancos,Ourense,A,Lucas,Visita,19/04/24,41.950617 ,-7.763282,SI,,SI,,"sin balsas, muchos finos, mejora punto limpio",,
Sonia,Coruña,C,Olga,Visita,23/04/24,43.749579 ,-7.707861,SI,,SI,,incluir la entrega de residuos de la subcontratra,,
Grande Mesada,Lugo,A,Alfonso,Visita,25/04/24,43.397420 ,-7.302919 ,SI,,SI,,polvo en el establecimiento de beneficio,,
Florencio fracc 4,Lugo,C,Jose Luis,Visita,03/05/24,42.603082 ,-7.455931,SI,,SI,,,,
Vetusta,Lugo,C,Jose Luis,Visita,07/05/24,42.706637 ,-7.268979,SI,,Si,,Pendiente de entregar documentacion ambiental-finalmente la entrego,,
Naira,Ourense,A,Monse,Visita,15/05/24,42.076315 ,-7.783799 ,SI,,SI,,,,
Ampliación a Bertita,Lugo,A,Teresa,Visita,21/05/24,43.003883 ,-7.474381,SI,,SI,,No cubren IN329A presentan informe,,
San Antonio,Lugo,C,Teresa,Visita,24/05/24,43.121454 ,-7.858792,SI,,SI,,Muchas cosas a mejorar ver informe,,
Costa do Cuzo,Coruña,A,Mayte,Visita,31/05/24,43.093263 ,-8.821030,SI,,SI,,,,
Castelos,Lugo,A,Jose Luis,Visita,04/06/24,42.991839,-7.514877,SI,,SI,,"Se pidio que subiesen infomre de seguimento ambiental, subido",,
Sampayo,Lugo,A,Jose Luis,Visita,07/06/24,43.008665 ,-7.388110,SI,,SI,,,,
Santaballa 1,Lugo,A,Paula,Visita,11/06/24,43.334300,-7.699494 ,SI,,SI,,Mejorar informe ambiental,,
Miragres,Lugo,A,Paula,Visita,14/06/24,43.458960 ,-7.324665,SI,,SI,,,,
Rañadoiro-Cota da rexa,Pontevedra,C,Tono,Visita,21/06/24,42.363984 ,-8.578465 ,SI,,SI,,No cubre informe,,
Berducido,Pontevedra,C,Tono,Visita,21/06/24,42.498278 ,-8.627193 ,SI,,SI,,,,
Pico Douro,Coruña,C,Olga,Visita,27/06/24,43.515400 ,-8.249560,SI,,SI,,,,
Setepontes,Coruña,A,Olga,Visita,27/06/24,43.572249 ,-7.998767,SI,,SI,,,,
Irene,Coruña,C,Olga,Visita,04/07/24,42.725785 ,-8.865374,SI,,SI,,,,
Arrribeltz,Coruña,,Mayte,Visita,05/07/24,42.901618 ,-8.000364,SI,,SI,,,,
Montevilas,Pontevedra,C,Luis,Visita,09/07/24,42.121560 ,-8.723424,SI,,SI,,No cubre informe,,
Costa Grande,Coruña,,Rafael,Visita,16/07/24,42.811229 ,-9.074692,SI,,SI,,,,
Pedroso,Pontevedra,C,Luis,Visita,02/08/24,42.687840 ,-7.990925,SI,,SI,,,,
As Viñas,Coruña,A,Mayte,Visita,20/08/24,43.486807,-7.927011,SI,,SI,,,,
Faro ,Pontevedra,C,Rosa,Visita,30/08/24,42.417769 ,-8.592252,SI,,SI,,,,
Portodemouros,Pontevedra,C,Luis,Visita,05/09/24,42.851597 ,-8.191928,SI,,SI,,,,
 A costa,Pontevedra,C,Tono,Visita,12/09/24,42.090925 ,-8.664655,SI,,SI,,,,
Puente,Pontevedra,C,Luis,Visita,13/09/24,42.691377 ,-8.009744,SI,,SI,,,,
Lola,Coruña,,Olga,Visita,25/09/24,42.716860 ,-8.898387,SI,,SI,,,,
Olveiro,Coruña,A,Mijares,Visita,27/09/24,43.255130 ,-8.755253 ,SI,,SI,,,,
Cotarel,Pontevedra,C,Tono,Visita,16/10/24,42.088670 ,-8.654203,SI,,SI,,,,
Pedros 2,Coruña,,,Visita,24/10/24,42.915527,-8.957842,SI,,SI,,,,
Miramontes,Coruña,,,visita,12/12/24,42.941638 ,-8.574343 ,SI,,Si,,,,
